"","Program","Year","Period","State","State.ANSI","Fruit","crop_type","Totals","Fresh Market","Process Market","Metric","Domain","Domain.Category","Value","CV...."
"135","CENSUS",2021,"YEAR","NEBRASKA",31,"STRAWBERRIES","ORGANIC","","SALES","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"136","CENSUS",2021,"YEAR","NEW HAMPSHIRE",33,"STRAWBERRIES","ORGANIC","OPERATIONS WITH SALES","","","","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","9","58.7"
"137","CENSUS",2021,"YEAR","NEW HAMPSHIRE",33,"STRAWBERRIES","ORGANIC","PRODUCTION","","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","132","(H)"
"138","CENSUS",2021,"YEAR","NEW HAMPSHIRE",33,"STRAWBERRIES","ORGANIC","SALES","","","$","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","52,665","(H)"
"139","CENSUS",2021,"YEAR","NEW HAMPSHIRE",33,"STRAWBERRIES","ORGANIC","SALES","","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","132","(H)"
"140","CENSUS",2021,"YEAR","NEW HAMPSHIRE",33,"STRAWBERRIES","ORGANIC","","OPERATIONS WITH SALES","","","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","9","58.7"
"141","CENSUS",2021,"YEAR","NEW HAMPSHIRE",33,"STRAWBERRIES","ORGANIC","","SALES","","$","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","52,665","(H)"
"142","CENSUS",2021,"YEAR","NEW HAMPSHIRE",33,"STRAWBERRIES","ORGANIC","","SALES","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","132","(H)"
"143","CENSUS",2021,"YEAR","NEW JERSEY",34,"STRAWBERRIES","ORGANIC","OPERATIONS WITH SALES","","","","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","3","(H)"
"144","CENSUS",2021,"YEAR","NEW JERSEY",34,"STRAWBERRIES","ORGANIC","PRODUCTION","","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"145","CENSUS",2021,"YEAR","NEW JERSEY",34,"STRAWBERRIES","ORGANIC","SALES","","","$","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","28,166","(H)"
"146","CENSUS",2021,"YEAR","NEW JERSEY",34,"STRAWBERRIES","ORGANIC","SALES","","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"147","CENSUS",2021,"YEAR","NEW JERSEY",34,"STRAWBERRIES","ORGANIC","","OPERATIONS WITH SALES","","","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","3","(H)"
"148","CENSUS",2021,"YEAR","NEW JERSEY",34,"STRAWBERRIES","ORGANIC","","SALES","","$","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","28,166","(H)"
"149","CENSUS",2021,"YEAR","NEW JERSEY",34,"STRAWBERRIES","ORGANIC","","SALES","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"150","CENSUS",2021,"YEAR","NEW YORK",36,"STRAWBERRIES","ORGANIC","OPERATIONS WITH SALES","","","","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","45","26.4"
"151","CENSUS",2021,"YEAR","NEW YORK",36,"STRAWBERRIES","ORGANIC","PRODUCTION","","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","1,755","32.6"
"152","CENSUS",2021,"YEAR","NEW YORK",36,"STRAWBERRIES","ORGANIC","SALES","","","$","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","633,111","44.5"
"153","CENSUS",2021,"YEAR","NEW YORK",36,"STRAWBERRIES","ORGANIC","SALES","","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","1,755","32.6"
"154","CENSUS",2021,"YEAR","NEW YORK",36,"STRAWBERRIES","ORGANIC","","OPERATIONS WITH SALES","","","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","43","25.3"
"155","CENSUS",2021,"YEAR","NEW YORK",36,"STRAWBERRIES","ORGANIC","","SALES","","$","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"156","CENSUS",2021,"YEAR","NEW YORK",36,"STRAWBERRIES","ORGANIC","","SALES","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"157","CENSUS",2021,"YEAR","NEW YORK",36,"STRAWBERRIES","ORGANIC","","","OPERATIONS WITH SALES","","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","2","94.9"
"158","CENSUS",2021,"YEAR","NEW YORK",36,"STRAWBERRIES","ORGANIC","","","SALES","$","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"159","CENSUS",2021,"YEAR","NEW YORK",36,"STRAWBERRIES","ORGANIC","","","SALES","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"160","CENSUS",2021,"YEAR","NORTH CAROLINA",37,"STRAWBERRIES","ORGANIC","OPERATIONS WITH SALES","","","","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","4","68.3"
"161","CENSUS",2021,"YEAR","NORTH CAROLINA",37,"STRAWBERRIES","ORGANIC","PRODUCTION","","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","734","89.2"
"162","CENSUS",2021,"YEAR","NORTH CAROLINA",37,"STRAWBERRIES","ORGANIC","SALES","","","$","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","190,000","(H)"
"163","CENSUS",2021,"YEAR","NORTH CAROLINA",37,"STRAWBERRIES","ORGANIC","SALES","","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","734","89.2"
"164","CENSUS",2021,"YEAR","NORTH CAROLINA",37,"STRAWBERRIES","ORGANIC","","OPERATIONS WITH SALES","","","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","4","68.3"
"165","CENSUS",2021,"YEAR","NORTH CAROLINA",37,"STRAWBERRIES","ORGANIC","","SALES","","$","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","190,000","(H)"
"166","CENSUS",2021,"YEAR","NORTH CAROLINA",37,"STRAWBERRIES","ORGANIC","","SALES","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","734","89.2"
"167","CENSUS",2021,"YEAR","OHIO",39,"STRAWBERRIES","ORGANIC","OPERATIONS WITH SALES","","","","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","9","72.1"
"168","CENSUS",2021,"YEAR","OHIO",39,"STRAWBERRIES","ORGANIC","PRODUCTION","","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","360","68.4"
"169","CENSUS",2021,"YEAR","OHIO",39,"STRAWBERRIES","ORGANIC","SALES","","","$","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","106,638","69.2"
"170","CENSUS",2021,"YEAR","OHIO",39,"STRAWBERRIES","ORGANIC","SALES","","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","360","68.4"
"171","CENSUS",2021,"YEAR","OHIO",39,"STRAWBERRIES","ORGANIC","","OPERATIONS WITH SALES","","","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","9","72.1"
"172","CENSUS",2021,"YEAR","OHIO",39,"STRAWBERRIES","ORGANIC","","SALES","","$","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","106,638","69.2"
"173","CENSUS",2021,"YEAR","OHIO",39,"STRAWBERRIES","ORGANIC","","SALES","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","360","68.4"
"174","CENSUS",2021,"YEAR","OKLAHOMA",40,"STRAWBERRIES","ORGANIC","OPERATIONS WITH SALES","","","","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","4","70.4"
"175","CENSUS",2021,"YEAR","OKLAHOMA",40,"STRAWBERRIES","ORGANIC","PRODUCTION","","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","1,858","69.9"
"176","CENSUS",2021,"YEAR","OKLAHOMA",40,"STRAWBERRIES","ORGANIC","SALES","","","$","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"177","CENSUS",2021,"YEAR","OKLAHOMA",40,"STRAWBERRIES","ORGANIC","SALES","","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","1,858","69.9"
"178","CENSUS",2021,"YEAR","OKLAHOMA",40,"STRAWBERRIES","ORGANIC","","OPERATIONS WITH SALES","","","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","4","70.4"
"179","CENSUS",2021,"YEAR","OKLAHOMA",40,"STRAWBERRIES","ORGANIC","","SALES","","$","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"180","CENSUS",2021,"YEAR","OKLAHOMA",40,"STRAWBERRIES","ORGANIC","","SALES","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","1,858","69.9"
"181","CENSUS",2021,"YEAR","OREGON",41,"STRAWBERRIES","ORGANIC","OPERATIONS WITH SALES","","","","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","26","54.2"
"182","CENSUS",2021,"YEAR","OREGON",41,"STRAWBERRIES","ORGANIC","PRODUCTION","","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","1,362","84.2"
"183","CENSUS",2021,"YEAR","OREGON",41,"STRAWBERRIES","ORGANIC","SALES","","","$","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","895,054","(H)"
"184","CENSUS",2021,"YEAR","OREGON",41,"STRAWBERRIES","ORGANIC","SALES","","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","1,362","84.2"
"185","CENSUS",2021,"YEAR","OREGON",41,"STRAWBERRIES","ORGANIC","","OPERATIONS WITH SALES","","","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","26","54.2"
"186","CENSUS",2021,"YEAR","OREGON",41,"STRAWBERRIES","ORGANIC","","SALES","","$","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","895,054","(H)"
"187","CENSUS",2021,"YEAR","OREGON",41,"STRAWBERRIES","ORGANIC","","SALES","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","1,362","84.2"
"188","CENSUS",2021,"YEAR","PENNSYLVANIA",42,"STRAWBERRIES","ORGANIC","OPERATIONS WITH SALES","","","","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","27","48.1"
"189","CENSUS",2021,"YEAR","PENNSYLVANIA",42,"STRAWBERRIES","ORGANIC","PRODUCTION","","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","522","49"
"190","CENSUS",2021,"YEAR","PENNSYLVANIA",42,"STRAWBERRIES","ORGANIC","SALES","","","$","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","148,898","43.7"
"191","CENSUS",2021,"YEAR","PENNSYLVANIA",42,"STRAWBERRIES","ORGANIC","SALES","","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","522","49"
"192","CENSUS",2021,"YEAR","PENNSYLVANIA",42,"STRAWBERRIES","ORGANIC","","OPERATIONS WITH SALES","","","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","27","48.1"
"193","CENSUS",2021,"YEAR","PENNSYLVANIA",42,"STRAWBERRIES","ORGANIC","","SALES","","$","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","148,898","43.7"
"194","CENSUS",2021,"YEAR","PENNSYLVANIA",42,"STRAWBERRIES","ORGANIC","","SALES","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","522","49"
"195","CENSUS",2021,"YEAR","RHODE ISLAND",44,"STRAWBERRIES","ORGANIC","OPERATIONS WITH SALES","","","","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","2","(H)"
"196","CENSUS",2021,"YEAR","RHODE ISLAND",44,"STRAWBERRIES","ORGANIC","PRODUCTION","","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"197","CENSUS",2021,"YEAR","RHODE ISLAND",44,"STRAWBERRIES","ORGANIC","SALES","","","$","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"198","CENSUS",2021,"YEAR","RHODE ISLAND",44,"STRAWBERRIES","ORGANIC","SALES","","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"199","CENSUS",2021,"YEAR","RHODE ISLAND",44,"STRAWBERRIES","ORGANIC","","OPERATIONS WITH SALES","","","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","2","(H)"
"200","CENSUS",2021,"YEAR","RHODE ISLAND",44,"STRAWBERRIES","ORGANIC","","SALES","","$","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"201","CENSUS",2021,"YEAR","RHODE ISLAND",44,"STRAWBERRIES","ORGANIC","","SALES","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"202","CENSUS",2021,"YEAR","SOUTH CAROLINA",45,"STRAWBERRIES","ORGANIC","OPERATIONS WITH SALES","","","","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","2","(H)"
"203","CENSUS",2021,"YEAR","SOUTH CAROLINA",45,"STRAWBERRIES","ORGANIC","PRODUCTION","","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"204","CENSUS",2021,"YEAR","SOUTH CAROLINA",45,"STRAWBERRIES","ORGANIC","SALES","","","$","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"205","CENSUS",2021,"YEAR","SOUTH CAROLINA",45,"STRAWBERRIES","ORGANIC","SALES","","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"206","CENSUS",2021,"YEAR","SOUTH CAROLINA",45,"STRAWBERRIES","ORGANIC","","OPERATIONS WITH SALES","","","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","2","(H)"
"207","CENSUS",2021,"YEAR","SOUTH CAROLINA",45,"STRAWBERRIES","ORGANIC","","SALES","","$","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"208","CENSUS",2021,"YEAR","SOUTH CAROLINA",45,"STRAWBERRIES","ORGANIC","","SALES","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"209","CENSUS",2021,"YEAR","SOUTH DAKOTA",46,"STRAWBERRIES","ORGANIC","OPERATIONS WITH SALES","","","","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","1","(H)"
"210","CENSUS",2021,"YEAR","SOUTH DAKOTA",46,"STRAWBERRIES","ORGANIC","PRODUCTION","","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"211","CENSUS",2021,"YEAR","SOUTH DAKOTA",46,"STRAWBERRIES","ORGANIC","SALES","","","$","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"212","CENSUS",2021,"YEAR","SOUTH DAKOTA",46,"STRAWBERRIES","ORGANIC","SALES","","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"213","CENSUS",2021,"YEAR","SOUTH DAKOTA",46,"STRAWBERRIES","ORGANIC","","OPERATIONS WITH SALES","","","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","1","(H)"
"214","CENSUS",2021,"YEAR","SOUTH DAKOTA",46,"STRAWBERRIES","ORGANIC","","SALES","","$","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"215","CENSUS",2021,"YEAR","SOUTH DAKOTA",46,"STRAWBERRIES","ORGANIC","","SALES","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"216","CENSUS",2021,"YEAR","TENNESSEE",47,"STRAWBERRIES","ORGANIC","OPERATIONS WITH SALES","","","","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","1","(H)"
"217","CENSUS",2021,"YEAR","TENNESSEE",47,"STRAWBERRIES","ORGANIC","PRODUCTION","","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"218","CENSUS",2021,"YEAR","TENNESSEE",47,"STRAWBERRIES","ORGANIC","SALES","","","$","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"219","CENSUS",2021,"YEAR","TENNESSEE",47,"STRAWBERRIES","ORGANIC","SALES","","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"220","CENSUS",2021,"YEAR","TENNESSEE",47,"STRAWBERRIES","ORGANIC","","OPERATIONS WITH SALES","","","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","1","(H)"
"221","CENSUS",2021,"YEAR","TENNESSEE",47,"STRAWBERRIES","ORGANIC","","SALES","","$","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"222","CENSUS",2021,"YEAR","TENNESSEE",47,"STRAWBERRIES","ORGANIC","","SALES","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"223","CENSUS",2021,"YEAR","VERMONT",50,"STRAWBERRIES","ORGANIC","OPERATIONS WITH SALES","","","","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","31","38.8"
"224","CENSUS",2021,"YEAR","VERMONT",50,"STRAWBERRIES","ORGANIC","PRODUCTION","","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","1,202","39.1"
"225","CENSUS",2021,"YEAR","VERMONT",50,"STRAWBERRIES","ORGANIC","SALES","","","$","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","480,304","49.7"
"226","CENSUS",2021,"YEAR","VERMONT",50,"STRAWBERRIES","ORGANIC","SALES","","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","1,202","39.1"
"227","CENSUS",2021,"YEAR","VERMONT",50,"STRAWBERRIES","ORGANIC","","OPERATIONS WITH SALES","","","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","31","38.8"
"228","CENSUS",2021,"YEAR","VERMONT",50,"STRAWBERRIES","ORGANIC","","SALES","","$","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","480,304","49.7"
"229","CENSUS",2021,"YEAR","VERMONT",50,"STRAWBERRIES","ORGANIC","","SALES","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","1,202","39.1"
"230","CENSUS",2021,"YEAR","WASHINGTON",53,"STRAWBERRIES","ORGANIC","OPERATIONS WITH SALES","","","","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","49","25.1"
"231","CENSUS",2021,"YEAR","WASHINGTON",53,"STRAWBERRIES","ORGANIC","PRODUCTION","","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","1,579","53.4"
"232","CENSUS",2021,"YEAR","WASHINGTON",53,"STRAWBERRIES","ORGANIC","SALES","","","$","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","870,017","54"
"233","CENSUS",2021,"YEAR","WASHINGTON",53,"STRAWBERRIES","ORGANIC","SALES","","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","1,579","53.4"
"234","CENSUS",2021,"YEAR","WASHINGTON",53,"STRAWBERRIES","ORGANIC","","OPERATIONS WITH SALES","","","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","49","25.1"
"235","CENSUS",2021,"YEAR","WASHINGTON",53,"STRAWBERRIES","ORGANIC","","SALES","","$","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","863,231","53.8"
"236","CENSUS",2021,"YEAR","WASHINGTON",53,"STRAWBERRIES","ORGANIC","","SALES","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","1,499","54"
"237","CENSUS",2021,"YEAR","WASHINGTON",53,"STRAWBERRIES","ORGANIC","","","OPERATIONS WITH SALES","","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","4","73"
"238","CENSUS",2021,"YEAR","WASHINGTON",53,"STRAWBERRIES","ORGANIC","","","SALES","$","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","6,786","93.9"
"239","CENSUS",2021,"YEAR","WASHINGTON",53,"STRAWBERRIES","ORGANIC","","","SALES","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","80","82.3"
"240","CENSUS",2021,"YEAR","WEST VIRGINIA",54,"STRAWBERRIES","ORGANIC","OPERATIONS WITH SALES","","","","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","2","(H)"
"241","CENSUS",2021,"YEAR","WEST VIRGINIA",54,"STRAWBERRIES","ORGANIC","PRODUCTION","","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"242","CENSUS",2021,"YEAR","WEST VIRGINIA",54,"STRAWBERRIES","ORGANIC","SALES","","","$","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"243","CENSUS",2021,"YEAR","WEST VIRGINIA",54,"STRAWBERRIES","ORGANIC","SALES","","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"244","CENSUS",2021,"YEAR","WEST VIRGINIA",54,"STRAWBERRIES","ORGANIC","","OPERATIONS WITH SALES","","","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","2","(H)"
"245","CENSUS",2021,"YEAR","WEST VIRGINIA",54,"STRAWBERRIES","ORGANIC","","SALES","","$","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"246","CENSUS",2021,"YEAR","WEST VIRGINIA",54,"STRAWBERRIES","ORGANIC","","SALES","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"247","CENSUS",2021,"YEAR","WISCONSIN",55,"STRAWBERRIES","ORGANIC","OPERATIONS WITH SALES","","","","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","28","31.3"
"248","CENSUS",2021,"YEAR","WISCONSIN",55,"STRAWBERRIES","ORGANIC","PRODUCTION","","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","426","82.8"
"249","CENSUS",2021,"YEAR","WISCONSIN",55,"STRAWBERRIES","ORGANIC","SALES","","","$","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","128,120","76.4"
"250","CENSUS",2021,"YEAR","WISCONSIN",55,"STRAWBERRIES","ORGANIC","SALES","","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","426","82.8"
"251","CENSUS",2021,"YEAR","WISCONSIN",55,"STRAWBERRIES","ORGANIC","","OPERATIONS WITH SALES","","","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","28","31.3"
"252","CENSUS",2021,"YEAR","WISCONSIN",55,"STRAWBERRIES","ORGANIC","","SALES","","$","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","128,120","76.4"
"253","CENSUS",2021,"YEAR","WISCONSIN",55,"STRAWBERRIES","ORGANIC","","SALES","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","426","82.8"
"254","CENSUS",2019,"YEAR","ALABAMA",1,"STRAWBERRIES","ORGANIC","OPERATIONS WITH SALES","","","","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","2","30.4"
"255","CENSUS",2019,"YEAR","ALABAMA",1,"STRAWBERRIES","ORGANIC","PRODUCTION","","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"256","CENSUS",2019,"YEAR","ALABAMA",1,"STRAWBERRIES","ORGANIC","SALES","","","$","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"257","CENSUS",2019,"YEAR","ALABAMA",1,"STRAWBERRIES","ORGANIC","SALES","","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"258","CENSUS",2019,"YEAR","ALABAMA",1,"STRAWBERRIES","ORGANIC","","OPERATIONS WITH SALES","","","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","2","30.4"
"259","CENSUS",2019,"YEAR","ALABAMA",1,"STRAWBERRIES","ORGANIC","","SALES","","$","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"260","CENSUS",2019,"YEAR","ALABAMA",1,"STRAWBERRIES","ORGANIC","","SALES","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"261","CENSUS",2019,"YEAR","ALABAMA",1,"STRAWBERRIES","ORGANIC","","","OPERATIONS WITH SALES","","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","2","(H)"
"262","CENSUS",2019,"YEAR","ALABAMA",1,"STRAWBERRIES","ORGANIC","","","SALES","$","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"263","CENSUS",2019,"YEAR","ALABAMA",1,"STRAWBERRIES","ORGANIC","","","SALES","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"264","CENSUS",2019,"YEAR","ARIZONA",4,"STRAWBERRIES","ORGANIC","OPERATIONS WITH SALES","","","","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","2","(H)"
"265","CENSUS",2019,"YEAR","ARIZONA",4,"STRAWBERRIES","ORGANIC","PRODUCTION","","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"266","CENSUS",2019,"YEAR","ARIZONA",4,"STRAWBERRIES","ORGANIC","SALES","","","$","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
